Suunta;X;Y;Z
5;1654;1689;2017
5;1647;1680;2013
5;1653;1686;2002
5;1651;1691;1981
5;1647;1682;2019
5;1645;1694;2010
5;1639;1694;2009
5;1641;1698;2010
5;1655;1709;2003
5;1654;1694;2012
5;1640;1677;2015
5;1652;1687;2000
5;1634;1683;2005
5;1630;1682;1989
5;1644;1680;2003
5;1646;1673;2007
5;1637;1679;2010
5;1638;1687;2000
5;1626;1680;2003
5;1648;1683;2012
5;1631;1667;2000
5;1632;1677;2006
5;1639;1675;2007
5;1637;1677;2008
5;1650;1685;2001
5;1641;1676;2002
5;1656;1688;2011
5;1639;1683;2001
5;1636;1672;2007
5;1645;1685;1995
5;1643;1689;2035
5;1633;1671;2028
5;1641;1640;1991
5;1642;1646;2002
5;1640;1684;2010
5;1633;1665;1995
5;1638;1675;2012
5;1640;1687;1997
5;1647;1686;2000
5;1645;1685;2003
5;1644;1674;2010
5;1637;1678;1996
5;1626;1675;2012
5;1633;1674;2033
5;1648;1683;2008
5;1647;1678;2004
5;1645;1676;2011
5;1641;1671;1981
5;1644;1672;1999
5;1655;1676;1997
5;1647;1682;2007
5;1644;1682;1997
5;1638;1669;2003
5;1644;1678;2003
5;1648;1674;2006
5;1644;1668;2000
5;1644;1673;1995
5;1647;1665;1991
5;1642;1673;1997
5;1652;1679;2003
5;1648;1664;2003
5;1646;1685;2010
5;1647;1678;2003
5;1645;1679;1994
5;1650;1676;2008
5;1650;1677;1997
5;1653;1680;1999
5;1644;1684;1995
5;1646;1680;1981
5;1640;1674;1996
5;1655;1683;2003
5;1639;1680;1996
5;1629;1676;1995
5;1648;1665;2007
5;1645;1679;2000
5;1652;1670;1999
5;1643;1679;2005
5;1647;1683;1999
5;1647;1678;1994
5;1652;1677;1995
5;1644;1687;1996
5;1641;1677;1994
5;1646;1677;2003
5;1653;1679;1995
5;1647;1688;1996
5;1638;1690;1990
5;1625;1688;1995
5;1647;1679;1992
5;1648;1686;1997
